"﻿最高氣溫 (攝氏度) - 香港國際機場"
"Maximum Temperature (°C) - Hong Kong International Airport"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2024,1,1,24.8,C
2024,1,2,22.4,C
2024,1,3,22.2,C
2024,1,4,20.0,C
2024,1,5,22.0,C
2024,1,6,23.6,C
2024,1,7,23.7,C
2024,1,8,23.2,C
2024,1,9,24.3,C
2024,1,10,24.2,C
2024,1,11,23.0,C
2024,1,12,22.4,C
2024,1,13,24.5,C
2024,1,14,24.8,C
2024,1,15,26.1,C
2024,1,16,23.0,C
2024,1,17,22.6,C
2024,1,18,25.6,C
2024,1,19,26.9,C
2024,1,20,24.8,C
2024,1,21,22.0,C
2024,1,22,18.2,C
2024,1,23,9.6,C
2024,1,24,11.3,C
2024,1,25,14.5,C
2024,1,26,16.3,C
2024,1,27,16.5,C
2024,1,28,15.4,C
2024,1,29,18.1,C
2024,1,30,21.3,C
2024,1,31,23.3,C
2024,2,1,25.5,C
2024,2,2,27.8,C
2024,2,3,24.1,C
2024,2,4,24.2,C
2024,2,5,21.4,C
2024,2,6,23.9,C
2024,2,7,19.8,C
2024,2,8,12.9,C
2024,2,9,13.3,C
2024,2,10,18.5,C
2024,2,11,22.6,C
2024,2,12,23.0,C
2024,2,13,24.6,C
2024,2,14,26.2,C
2024,2,15,26.0,C
2024,2,16,24.7,C
2024,2,17,23.9,C
2024,2,18,28.6,C
2024,2,19,26.9,C
2024,2,20,28.4,C
2024,2,21,28.3,C
2024,2,22,28.2,C
2024,2,23,21.1,C
2024,2,24,18.9,C
2024,2,25,16.8,C
2024,2,26,19.8,C
2024,2,27,18.1,C
2024,2,28,19.8,C
2024,2,29,19.0,C
2024,3,1,13.9,C
2024,3,2,14.2,C
2024,3,3,19.5,C
2024,3,4,24.9,C
2024,3,5,29.2,C
2024,3,6,26.8,C
2024,3,7,20.3,C
2024,3,8,22.2,C
2024,3,9,20.0,C
2024,3,10,17.8,C
2024,3,11,18.6,C
2024,3,12,25.1,C
2024,3,13,22.9,C
2024,3,14,23.6,C
2024,3,15,23.9,C
2024,3,16,25.2,C
2024,3,17,27.0,C
2024,3,18,25.3,C
2024,3,19,24.0,C
2024,3,20,23.9,C
2024,3,21,24.6,C
2024,3,22,28.0,C
2024,3,23,28.9,C
2024,3,24,30.2,C
2024,3,25,30.3,C
2024,3,26,29.8,C
2024,3,27,26.0,C
2024,3,28,28.0,C
2024,3,29,30.1,C
2024,3,30,30.5,C
2024,3,31,30.3,C
2024,4,1,31.0,C
2024,4,2,31.0,C
2024,4,3,29.6,C
2024,4,4,30.2,C
2024,4,5,29.3,C
2024,4,6,26.4,C
2024,4,7,29.1,C
2024,4,8,29.9,C
2024,4,9,26.5,C
2024,4,10,28.8,C
2024,4,11,29.9,C
2024,4,12,30.2,C
2024,4,13,31.8,C
2024,4,14,31.9,C
2024,4,15,32.9,C
2024,4,16,32.6,C
2024,4,17,32.6,C
2024,4,18,31.0,C
2024,4,19,29.1,C
2024,4,20,31.7,C
2024,4,21,28.2,C
2024,4,22,27.6,C
2024,4,23,28.0,C
2024,4,24,29.8,C
2024,4,25,29.8,C
2024,4,26,30.2,C
2024,4,27,31.7,C
2024,4,28,29.7,C
2024,4,29,31.5,C
2024,4,30,32.0,C
2024,5,1,25.2,C
2024,5,2,26.7,C
2024,5,3,27.9,C
2024,5,4,26.0,C
2024,5,5,28.6,C
2024,5,6,31.7,C
2024,5,7,31.8,C
2024,5,8,29.5,C
2024,5,9,30.0,C
2024,5,10,28.2,C
2024,5,11,31.8,C
2024,5,12,32.2,C
2024,5,13,30.0,C
2024,5,14,29.9,C
2024,5,15,30.4,C
2024,5,16,30.7,C
2024,5,17,29.4,C
2024,5,18,30.1,C
2024,5,19,27.4,C
2024,5,20,27.1,C
2024,5,21,26.8,C
2024,5,22,29.3,C
2024,5,23,29.8,C
2024,5,24,27.5,C
2024,5,25,30.5,C
2024,5,26,31.7,C
2024,5,27,31.7,C
2024,5,28,33.2,C
2024,5,29,29.4,C
2024,5,30,28.1,C
2024,5,31,30.8,C
2024,6,1,30.5,C
2024,6,2,31.0,C
2024,6,3,28.7,C
2024,6,4,26.9,C
2024,6,5,28.5,C
2024,6,6,29.0,C
2024,6,7,28.6,C
2024,6,8,30.8,C
2024,6,9,29.2,C
2024,6,10,31.2,C
2024,6,11,32.5,C
2024,6,12,33.5,C
2024,6,13,33.8,C
2024,6,14,31.3,C
2024,6,15,31.9,C
2024,6,16,32.7,C
2024,6,17,33.3,C
2024,6,18,32.9,C
2024,6,19,33.5,C
2024,6,20,33.0,C
2024,6,21,33.7,C
2024,6,22,34.2,C
2024,6,23,33.2,C
2024,6,24,32.8,C
2024,6,25,32.7,C
2024,6,26,34.1,C
2024,6,27,34.8,C
2024,6,28,33.7,C
2024,6,29,32.6,C
2024,6,30,33.0,C
2024,7,1,34.0,C
2024,7,2,33.5,C
2024,7,3,34.0,C
2024,7,4,33.6,C
2024,7,5,35.2,C
2024,7,6,34.6,C
2024,7,7,35.3,C
2024,7,8,35.0,C
2024,7,9,34.9,C
2024,7,10,34.6,C
2024,7,11,34.1,C
2024,7,12,33.9,C
2024,7,13,34.1,C
2024,7,14,36.2,C
2024,7,15,34.6,C
2024,7,16,32.9,C
2024,7,17,33.8,C
2024,7,18,33.0,C
2024,7,19,32.3,C
2024,7,20,34.3,C
2024,7,21,33.3,C
2024,7,22,33.9,C
2024,7,23,34.1,C
2024,7,24,33.5,C
2024,7,25,34.7,C
2024,7,26,32.4,C
2024,7,27,30.9,C
2024,7,28,29.1,C
2024,7,29,30.5,C
2024,7,30,30.5,C
2024,7,31,30.6,C
2024,8,1,32.9,C
2024,8,2,33.1,C
2024,8,3,34.0,C
2024,8,4,34.7,C
2024,8,5,36.7,C
2024,8,6,35.5,C
2024,8,7,34.8,C
2024,8,8,35.0,C
2024,8,9,35.2,C
2024,8,10,34.7,C
2024,8,11,34.9,C
2024,8,12,34.0,C
2024,8,13,34.1,C
2024,8,14,31.2,C
2024,8,15,33.1,C
2024,8,16,30.6,C
2024,8,17,30.2,C
2024,8,18,32.0,C
2024,8,19,31.1,C
2024,8,20,29.9,C
2024,8,21,29.7,C
2024,8,22,33.0,C
2024,8,23,33.6,C
2024,8,24,34.0,C
2024,8,25,34.2,C
2024,8,26,34.6,C
2024,8,27,35.0,C
2024,8,28,36.2,C
2024,8,29,34.0,C
2024,8,30,33.1,C
2024,8,31,32.7,C
2024,9,1,34.6,C
2024,9,2,35.9,C
2024,9,3,35.1,C
2024,9,4,33.1,C
2024,9,5,35.1,C
2024,9,6,30.2,C
2024,9,7,31.9,C
2024,9,8,31.3,C
2024,9,9,30.9,C
2024,9,10,33.5,C
2024,9,11,33.4,C
2024,9,12,33.4,C
2024,9,13,33.2,C
2024,9,14,32.8,C
2024,9,15,33.2,C
2024,9,16,32.3,C
2024,9,17,37.4,C
2024,9,18,34.4,C
2024,9,19,34.8,C
2024,9,20,33.5,C
2024,9,21,29.4,C
2024,9,22,31.6,C
2024,9,23,28.0,C
2024,9,24,28.7,C
2024,9,25,32.4,C
2024,9,26,31.9,C
2024,9,27,33.2,C
2024,9,28,33.9,C
2024,9,29,32.3,C
2024,9,30,34.7,C
2024,10,1,34.8,C
2024,10,2,30.4,C
2024,10,3,29.4,C
2024,10,4,29.2,C
2024,10,5,30.5,C
2024,10,6,32.7,C
2024,10,7,33.0,C
2024,10,8,31.1,C
2024,10,9,29.6,C
2024,10,10,30.5,C
2024,10,11,28.9,C
2024,10,12,31.5,C
2024,10,13,31.6,C
2024,10,14,32.7,C
2024,10,15,33.0,C
2024,10,16,33.1,C
2024,10,17,31.5,C
2024,10,18,32.5,C
2024,10,19,33.6,C
2024,10,20,32.5,C
2024,10,21,31.5,C
2024,10,22,32.9,C
2024,10,23,29.0,C
2024,10,24,28.2,C
2024,10,25,29.7,C
2024,10,26,28.1,C
2024,10,27,29.9,C
2024,10,28,27.7,C
2024,10,29,27.0,C
2024,10,30,29.0,C
2024,10,31,29.4,C
2024,11,1,31.1,C
2024,11,2,27.0,C
2024,11,3,28.5,C
2024,11,4,28.9,C
2024,11,5,29.2,C
