"﻿最低氣溫 (攝氏度) - 香港國際機場"
"Minimum Temperature (°C) - Hong Kong International Airport"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2024,1,1,19.4,C
2024,1,2,18.3,C
2024,1,3,15.4,C
2024,1,4,13.7,C
2024,1,5,16.8,C
2024,1,6,17.0,C
2024,1,7,19.1,C
2024,1,8,18.0,C
2024,1,9,18.8,C
2024,1,10,18.2,C
2024,1,11,17.3,C
2024,1,12,17.3,C
2024,1,13,18.1,C
2024,1,14,18.9,C
2024,1,15,17.6,C
2024,1,16,17.5,C
2024,1,17,17.5,C
2024,1,18,19.7,C
2024,1,19,18.8,C
2024,1,20,17.3,C
2024,1,21,15.3,C
2024,1,22,9.1,C
2024,1,23,5.7,C
2024,1,24,5.5,C
2024,1,25,8.5,C
2024,1,26,12.6,C
2024,1,27,12.3,C
2024,1,28,10.5,C
2024,1,29,13.4,C
2024,1,30,16.5,C
2024,1,31,18.6,C
2024,2,1,20.1,C
2024,2,2,19.9,C
2024,2,3,18.4,C
2024,2,4,19.8,C
2024,2,5,17.8,C
2024,2,6,17.4,C
2024,2,7,12.7,C
2024,2,8,10.6,C
2024,2,9,9.8,C
2024,2,10,11.1,C
2024,2,11,12.3,C
2024,2,12,15.2,C
2024,2,13,17.1,C
2024,2,14,17.8,C
2024,2,15,19.9,C
2024,2,16,18.6,C
2024,2,17,18.5,C
2024,2,18,20.9,C
2024,2,19,21.7,C
2024,2,20,22.7,C
2024,2,21,23.3,C
2024,2,22,20.7,C
2024,2,23,16.4,C
2024,2,24,15.8,C
2024,2,25,13.3,C
2024,2,26,14.4,C
2024,2,27,14.7,C
2024,2,28,15.3,C
2024,2,29,13.5,C
2024,3,1,9.6,C
2024,3,2,8.8,C
2024,3,3,13.5,C
2024,3,4,18.1,C
2024,3,5,23.9,C
2024,3,6,19.1,C
2024,3,7,16.7,C
2024,3,8,15.5,C
2024,3,9,15.3,C
2024,3,10,14.9,C
2024,3,11,15.9,C
2024,3,12,14.3,C
2024,3,13,18.0,C
2024,3,14,19.0,C
2024,3,15,20.0,C
2024,3,16,20.1,C
2024,3,17,20.9,C
2024,3,18,20.7,C
2024,3,19,18.2,C
2024,3,20,18.0,C
2024,3,21,18.4,C
2024,3,22,21.2,C
2024,3,23,22.7,C
2024,3,24,24.5,C
2024,3,25,23.9,C
2024,3,26,23.5,C
2024,3,27,21.4,C
2024,3,28,22.7,C
2024,3,29,23.2,C
2024,3,30,24.3,C
2024,3,31,26.5,C
2024,4,1,27.0,C
2024,4,2,26.3,C
2024,4,3,26.7,C
2024,4,4,26.8,C
2024,4,5,25.3,C
2024,4,6,24.5,C
2024,4,7,25.1,C
2024,4,8,21.5,C
2024,4,9,21.5,C
2024,4,10,22.3,C
2024,4,11,23.2,C
2024,4,12,23.2,C
2024,4,13,24.2,C
2024,4,14,25.8,C
2024,4,15,26.4,C
2024,4,16,25.4,C
2024,4,17,27.4,C
2024,4,18,23.8,C
2024,4,19,26.0,C
2024,4,20,23.0,C
2024,4,21,23.4,C
2024,4,22,23.4,C
2024,4,23,24.6,C
2024,4,24,24.4,C
2024,4,25,26.2,C
2024,4,26,24.2,C
2024,4,27,28.3,C
2024,4,28,24.5,C
2024,4,29,26.2,C
2024,4,30,22.7,C
2024,5,1,21.9,C
2024,5,2,23.3,C
2024,5,3,24.1,C
2024,5,4,21.9,C
2024,5,5,23.1,C
2024,5,6,24.9,C
2024,5,7,24.7,C
2024,5,8,25.5,C
2024,5,9,25.4,C
2024,5,10,24.8,C
2024,5,11,25.3,C
2024,5,12,24.9,C
2024,5,13,24.2,C
2024,5,14,23.5,C
2024,5,15,23.9,C
2024,5,16,24.6,C
2024,5,17,23.9,C
2024,5,18,25.6,C
2024,5,19,24.6,C
2024,5,20,24.0,C
2024,5,21,24.6,C
2024,5,22,24.9,C
2024,5,23,24.9,C
2024,5,24,25.2,C
2024,5,25,25.4,C
2024,5,26,26.2,C
2024,5,27,27.0,C
2024,5,28,26.6,C
2024,5,29,25.2,C
2024,5,30,25.0,C
2024,5,31,26.3,C
2024,6,1,25.7,C
2024,6,2,26.3,C
2024,6,3,24.6,C
2024,6,4,24.0,C
2024,6,5,23.9,C
2024,6,6,25.6,C
2024,6,7,25.5,C
2024,6,8,25.6,C
2024,6,9,25.4,C
2024,6,10,27.0,C
2024,6,11,28.2,C
2024,6,12,27.6,C
2024,6,13,29.5,C
2024,6,14,27.3,C
2024,6,15,24.3,C
2024,6,16,26.1,C
2024,6,17,29.1,C
2024,6,18,28.6,C
2024,6,19,28.9,C
2024,6,20,29.0,C
2024,6,21,29.3,C
2024,6,22,29.8,C
2024,6,23,28.3,C
2024,6,24,28.7,C
2024,6,25,27.2,C
2024,6,26,27.7,C
2024,6,27,28.6,C
2024,6,28,28.7,C
2024,6,29,26.4,C
2024,6,30,28.5,C
2024,7,1,30.2,C
2024,7,2,29.2,C
2024,7,3,29.2,C
2024,7,4,27.0,C
2024,7,5,28.3,C
2024,7,6,29.4,C
2024,7,7,28.7,C
2024,7,8,29.7,C
2024,7,9,29.5,C
2024,7,10,28.0,C
2024,7,11,27.6,C
2024,7,12,28.2,C
2024,7,13,28.1,C
2024,7,14,27.9,C
2024,7,15,28.2,C
2024,7,16,27.1,C
2024,7,17,26.0,C
2024,7,18,26.2,C
2024,7,19,26.7,C
2024,7,20,28.9,C
2024,7,21,27.0,C
2024,7,22,29.0,C
2024,7,23,29.0,C
2024,7,24,29.0,C
