"﻿平均氣溫 (攝氏度) - 香港國際機場"
"Mean Temperature (°C) - Hong Kong International Airport"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2024,1,1,21.0,C
2024,1,2,19.6,C
2024,1,3,18.9,C
2024,1,4,16.6,C
2024,1,5,19.3,C
2024,1,6,20.4,C
2024,1,7,20.8,C
2024,1,8,20.1,C
2024,1,9,21.4,C
2024,1,10,20.6,C
2024,1,11,19.3,C
2024,1,12,19.4,C
2024,1,13,20.7,C
2024,1,14,21.3,C
2024,1,15,21.1,C
2024,1,16,19.7,C
2024,1,17,19.6,C
2024,1,18,21.9,C
2024,1,19,22.2,C
2024,1,20,20.9,C
2024,1,21,18.3,C
2024,1,22,14.3,C
2024,1,23,7.2,C
2024,1,24,8.0,C
2024,1,25,11.4,C
2024,1,26,14.0,C
2024,1,27,14.1,C
2024,1,28,12.7,C
2024,1,29,15.5,C
2024,1,30,18.6,C
2024,1,31,20.5,C
2024,2,1,22.0,C
2024,2,2,22.3,C
2024,2,3,20.8,C
2024,2,4,21.4,C
2024,2,5,19.6,C
2024,2,6,20.3,C
2024,2,7,14.9,C
2024,2,8,11.4,C
2024,2,9,11.5,C
2024,2,10,14.3,C
2024,2,11,17.6,C
2024,2,12,19.0,C
2024,2,13,20.0,C
2024,2,14,21.0,C
2024,2,15,22.3,C
2024,2,16,20.9,C
2024,2,17,20.6,C
2024,2,18,23.3,C
2024,2,19,23.8,C
2024,2,20,25.0,C
2024,2,21,25.1,C
2024,2,22,24.9,C
2024,2,23,19.0,C
2024,2,24,16.8,C
2024,2,25,15.2,C
2024,2,26,16.1,C
2024,2,27,15.9,C
2024,2,28,17.0,C
2024,2,29,16.3,C
2024,3,1,11.6,C
2024,3,2,11.0,C
2024,3,3,16.6,C
2024,3,4,21.7,C
2024,3,5,25.8,C
2024,3,6,22.3,C
2024,3,7,18.3,C
2024,3,8,18.7,C
2024,3,9,17.0,C
2024,3,10,16.2,C
2024,3,11,17.2,C
2024,3,12,19.7,C
2024,3,13,20.2,C
2024,3,14,20.7,C
2024,3,15,21.3,C
2024,3,16,22.2,C
2024,3,17,23.3,C
2024,3,18,22.1,C
2024,3,19,21.0,C
2024,3,20,20.7,C
2024,3,21,21.3,C
2024,3,22,23.9,C
2024,3,23,25.5,C
2024,3,24,26.6,C
2024,3,25,26.4,C
2024,3,26,26.4,C
2024,3,27,23.3,C
2024,3,28,24.9,C
2024,3,29,25.7,C
2024,3,30,26.8,C
2024,3,31,28.3,C
2024,4,1,28.1,C
2024,4,2,27.6,C
2024,4,3,27.9,C
2024,4,4,28.0,C
2024,4,5,27.2,C
2024,4,6,25.4,C
2024,4,7,27.0,C
2024,4,8,25.0,C
2024,4,9,22.8,C
2024,4,10,24.6,C
2024,4,11,25.7,C
2024,4,12,26.2,C
2024,4,13,27.0,C
2024,4,14,28.0,C
2024,4,15,28.4,C
2024,4,16,28.5,C
2024,4,17,29.2,C
2024,4,18,27.6,C
2024,4,19,27.8,C
2024,4,20,27.7,C
2024,4,21,25.2,C
2024,4,22,25.4,C
2024,4,23,25.9,C
2024,4,24,26.4,C
2024,4,25,27.9,C
2024,4,26,28.1,C
2024,4,27,29.5,C
2024,4,28,27.1,C
2024,4,29,29.1,C
2024,4,30,29.0,C
2024,5,1,23.7,C
2024,5,2,24.8,C
2024,5,3,25.3,C
2024,5,4,24.2,C
2024,5,5,25.9,C
2024,5,6,27.9,C
2024,5,7,27.3,C
2024,5,8,27.0,C
2024,5,9,26.9,C
2024,5,10,26.2,C
2024,5,11,27.8,C
2024,5,12,27.2,C
2024,5,13,26.6,C
2024,5,14,26.1,C
2024,5,15,27.1,C
2024,5,16,27.3,C
2024,5,17,26.5,C
2024,5,18,27.4,C
2024,5,19,26.0,C
2024,5,20,25.3,C
2024,5,21,25.4,C
2024,5,22,26.6,C
2024,5,23,26.9,C
2024,5,24,26.0,C
2024,5,25,27.4,C
2024,5,26,28.2,C
2024,5,27,29.1,C
2024,5,28,28.5,C
2024,5,29,26.6,C
2024,5,30,26.5,C
2024,5,31,27.9,C
2024,6,1,27.5,C
2024,6,2,28.4,C
2024,6,3,26.0,C
2024,6,4,25.0,C
2024,6,5,25.8,C
2024,6,6,27.0,C
2024,6,7,26.7,C
2024,6,8,27.4,C
2024,6,9,27.5,C
2024,6,10,29.2,C
2024,6,11,29.9,C
2024,6,12,30.2,C
2024,6,13,30.9,C
2024,6,14,30.2,C
2024,6,15,28.6,C
2024,6,16,29.8,C
2024,6,17,30.8,C
2024,6,18,30.7,C
2024,6,19,30.8,C
2024,6,20,30.7,C
2024,6,21,31.1,C
2024,6,22,31.5,C
2024,6,23,30.8,C
2024,6,24,30.7,C
2024,6,25,30.3,C
2024,6,26,30.8,C
2024,6,27,31.0,C
2024,6,28,30.9,C
2024,6,29,30.1,C
2024,6,30,31.0,C
2024,7,1,31.3,C
2024,7,2,30.9,C
2024,7,3,31.3,C
2024,7,4,30.7,C
2024,7,5,30.9,C
2024,7,6,31.4,C
2024,7,7,31.5,C
2024,7,8,31.4,C
2024,7,9,31.2,C
2024,7,10,31.0,C
2024,7,11,30.6,C
2024,7,12,30.8,C
2024,7,13,30.9,C
2024,7,14,31.5,C
2024,7,15,30.6,C
2024,7,16,30.0,C
2024,7,17,29.9,C
2024,7,18,28.9,C
2024,7,19,29.6,C
2024,7,20,31.1,C
2024,7,21,30.6,C
2024,7,22,31.0,C
2024,7,23,31.0,C
2024,7,24,30.8,C
2024,7,25,31.7,C
2024,7,26,30.4,C
2024,7,27,29.8,C
2024,7,28,27.8,C
2024,7,29,27.7,C
2024,7,30,28.0,C
2024,7,31,28.2,C
2024,8,1,30.7,C
2024,8,2,30.6,C
2024,8,3,31.0,C
2024,8,4,31.4,C
2024,8,5,32.5,C
2024,8,6,31.4,C
2024,8,7,31.4,C
2024,8,8,31.6,C
2024,8,9,31.4,C
2024,8,10,31.4,C
2024,8,11,31.4,C
2024,8,12,30.1,C
2024,8,13,29.8,C
2024,8,14,29.7,C
2024,8,15,28.0,C
2024,8,16,28.3,C
2024,8,17,28.3,C
2024,8,18,29.0,C
2024,8,19,28.9,C
2024,8,20,28.5,C
2024,8,21,28.3,C
2024,8,22,30.2,C
2024,8,23,30.4,C
2024,8,24,30.6,C
2024,8,25,30.5,C
2024,8,26,30.8,C
2024,8,27,31.4,C
2024,8,28,31.2,C
2024,8,29,30.1,C
2024,8,30,30.6,C
2024,8,31,29.7,C
2024,9,1,30.8,C
2024,9,2,31.2,C
